numero-experimentation,type-experimentation,site-essai,systeme-essai,lot-cellules,passage,stress,temps-traitement,genes-analyses,proteine-correspondante,proteines-analysees,gene-correspondant,projet,nom-item,numero-item,type-echantillon,nom-r-et-d,nom-commercial,reference-produit,pourcentage-produit,genre,espece,fold-change,augmentation-diminution,notation
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,MMP2,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"3,277",228 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,ITGB1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"4,201",320 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL4A1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"4,1",310 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL7A1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,n.d,n.d,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,LAMA4,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"2,822",182 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,LAMB1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,n.d,n.d,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,LAMC1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,n.d,n.d,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,NID1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"3,866",287 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,BGN,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"30,107",2911 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,CD44,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"13,009",1201 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL1A1,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"35,965",3497 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL3A1,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"20,773",1977 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL5A1,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"37,745",3675 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,VCAN,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"27,589",2659 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,DCN,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"10,873",987 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,ELN,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"31,173",3017 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,FBN1,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"28,461",2746 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,FN1,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,"22,335",2134 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,HAS2,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,n.d,n.d,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,HSPG2,,,,P18-34,Vitamine C + TGFb,,témoin positif,,,,10µg/ml + 10ng/ml,,,n.d,n.d,
